,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
23351,27.0,female,High School,75269.0,8,MORTGAGE,5000.0,HOMEIMPROVEMENT,5.42,0.07,5.0,670,No
34131,32.0,female,High School,46671.0,9,RENT,6380.0,VENTURE,5.72,0.14,8.0,646,Yes
1073,23.0,female,Bachelor,75751.0,0,RENT,17800.0,MEDICAL,16.35,0.23,3.0,706,No
35184,28.0,male,Master,138842.0,7,MORTGAGE,5000.0,DEBTCONSOLIDATION,9.27,0.04,6.0,687,Yes
38468,29.0,female,Associate,180742.0,8,MORTGAGE,8000.0,EDUCATION,11.01,0.04,7.0,685,No
36362,26.0,male,High School,90951.0,2,MORTGAGE,12000.0,HOMEIMPROVEMENT,7.23,0.13,4.0,527,Yes
28618,27.0,female,Associate,67170.0,6,RENT,4000.0,DEBTCONSOLIDATION,6.76,0.06,6.0,660,No
658,25.0,female,Bachelor,65742.0,1,RENT,20000.0,PERSONAL,8.88,0.3,3.0,592,No
17737,23.0,female,Associate,99415.0,2,RENT,20900.0,DEBTCONSOLIDATION,12.69,0.21,2.0,608,Yes
311,25.0,female,High School,205046.0,6,MORTGAGE,10000.0,MEDICAL,11.11,0.05,4.0,646,Yes
26223,34.0,female,High School,119073.0,11,MORTGAGE,2500.0,DEBTCONSOLIDATION,15.96,0.02,10.0,643,Yes
16752,24.0,male,Associate,78149.0,0,RENT,5000.0,EDUCATION,11.86,0.06,4.0,480,Yes
29820,36.0,female,Doctorate,52548.0,16,RENT,4000.0,DEBTCONSOLIDATION,13.92,0.08,14.0,620,No
9206,22.0,male,Associate,73388.0,0,MORTGAGE,16750.0,EDUCATION,12.53,0.23,2.0,589,Yes
40976,28.0,male,Bachelor,64631.0,6,MORTGAGE,7000.0,DEBTCONSOLIDATION,10.0,0.11,9.0,661,No
13865,23.0,male,Bachelor,117469.0,1,MORTGAGE,15000.0,PERSONAL,16.4,0.13,3.0,648,No
